method,n_x,dice,dice_std,iou,hd95,assd,bf1,area_err,fail,n_y,end2end_ms_mean,end2end_ms_median,end2end_ms_std,seg_only_ms_mean,fps
A_box,202,0.7632490393233,0.30059007754971845,0.6841516265398934,16.298673550797496,6.122953275070666,0.31315771345314486,0.1561847865998921,0.12871287128712872,400,16.37709500735582,14.98756149885594,7.611058805708912,6.823961309964943,61.06089019761118
B_seg,202,0.7735371935087839,0.3108751868098581,0.7040180091268325,15.931555926165787,5.095914631155451,0.385002519836198,0.1453964214481503,0.13366336633663367,400,10.082800697400671,9.503043500444619,2.22203282179925,10.082800697400671,99.17879267987497
SAM_edgesam,202,0.7647847760348544,0.30772714801572026,0.6899133189734452,15.462254985043643,5.541253832114277,0.34448985381727615,0.15713055881520652,0.13366336633663367,400,35.17885097016915,34.455972505384125,9.932658792535614,8.742536445261067,28.42617005450169
SAM_efficientvit-t,202,0.7682389542098851,0.3080359356579797,0.6947159234489217,16.82643084606308,5.370636989641348,0.36481701047973353,0.15131509929194634,0.13366336633663367,400,99.25520454229627,101.88478849886451,21.90953357394392,9.623385545037308,10.075038428577955
