method,n_gt,dice_matched,iou_matched,hd95_matched,recall,precision,dice_x_f1
refiner_gtbox,341,0.7808236778856261,0.6937122506389136,15.58775277794939,0.9032258064516129,0.9032258064516129,0.705260096154759
yolo26n_seg,341,0.7923086885796344,0.7191101397133116,14.331294369220316,0.8797653958944281,0.7978723404255319,0.663019823079192
rough_otsu_gtbox,341,0.6555878067378533,0.5683346343818447,20.388294504335786,0.7712609970674487,0.7712609970674487,0.5056293054898985
refiner,341,0.6601857191742726,0.5832584019784832,16.83286415359467,0.7565982404692082,0.712707182320442,0.4845744396784134
rough_otsu,341,0.5409885594692111,0.4616816827209378,21.274819756915964,0.6480938416422287,0.6104972375690608,0.3401378994102295
