method,uid,dataset,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,n_miss,n_fp
A_box,busi_9460d57994,busi,0.8517837524414062,1,1,0.9199602780536247,0.8517837440235381,6.708203932499369,2.598336470424993,0.5331412103746398,0.053007135575942915,,
A_box__detstats,busi_9460d57994,busi,,1,1,,,,,,,0.0,0.0
A_otsu,busi_9460d57994,busi,0.8817309737205505,1,1,0.9371488033298647,0.881730957509301,5.0,1.9632825069855562,0.6879589216944801,0.040774719673802244,,
A_otsu__detstats,busi_9460d57994,busi,,1,1,,,,,,,0.0,0.0
A_otsu_fb,busi_9460d57994,busi,0.8817309737205505,1,1,0.9371488033298647,0.881730957509301,5.0,1.9632825069855562,0.6879589216944801,0.040774719673802244,,
A_otsu_fb__detstats,busi_9460d57994,busi,,1,1,,,,,,,0.0,0.0
A_select,busi_9460d57994,busi,0.8817309737205505,1,1,0.9371488033298647,0.881730957509301,5.0,1.9632825069855562,0.6879589216944801,0.040774719673802244,,
A_select__detstats,busi_9460d57994,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_9460d57994,busi,0.8912110328674316,1,1,0.9424765663542181,0.8912110468370965,5.0,1.8421252795949372,0.6647908939762117,0.06625891946992865,,
B_seg__detstats,busi_9460d57994,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_9460d57994,busi,0.811282217502594,1,1,0.8958098555475873,0.8112822416032659,10.0,3.369076364939278,0.4618852736578334,0.00998980632008155,,
SAM_edgesam__detstats,busi_9460d57994,busi,,1,1,,,,,,,0.0,0.0
SAM_litemedsam,busi_9460d57994,busi,0.8510006070137024,1,1,0.919503318347249,0.8510005944125223,8.0,2.4466257520098273,0.5784798883390433,0.09541284403669725,,
SAM_litemedsam__detstats,busi_9460d57994,busi,,1,1,,,,,,,0.0,0.0
SAM_swin_litemedsam,busi_9460d57994,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_swin_litemedsam__detstats,busi_9460d57994,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_bd7080a2a6,busi,0.7377426624298096,1,1,0.8490816133308086,0.7377426785126686,13.0,5.170781330487572,0.281949479256574,0.13458141999293535,,
A_box__detstats,busi_bd7080a2a6,busi,,1,1,,,,,,,0.0,0.0
A_otsu,busi_bd7080a2a6,busi,0.80243319272995,1,1,0.8903888202300599,0.8024331734064428,8.94427190999916,3.8026292311777583,0.37117750439367314,0.1421759095725892,,
A_otsu__detstats,busi_bd7080a2a6,busi,,1,1,,,,,,,0.0,0.0
A_otsu_fb,busi_bd7080a2a6,busi,0.80243319272995,1,1,0.8903888202300599,0.8024331734064428,8.94427190999916,3.8026292311777583,0.37117750439367314,0.1421759095725892,,
A_otsu_fb__detstats,busi_bd7080a2a6,busi,,1,1,,,,,,,0.0,0.0
A_select,busi_bd7080a2a6,busi,0.80243319272995,1,1,0.8903888202300599,0.8024331734064428,8.94427190999916,3.8026292311777583,0.37117750439367314,0.1421759095725892,,
A_select__detstats,busi_bd7080a2a6,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_bd7080a2a6,busi,0.8568075299263,1,1,0.922882427307206,0.8568075117370892,7.0,2.641076232713116,0.4355579573088355,0.04415400918403391,,
B_seg__detstats,busi_bd7080a2a6,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_bd7080a2a6,busi,0.7035923004150391,1,1,0.8260102000784622,0.7035923141186299,18.18640479931573,5.7608023905106105,0.26495726495726496,0.199222889438361,,
SAM_edgesam__detstats,busi_bd7080a2a6,busi,,1,1,,,,,,,0.0,0.0
SAM_litemedsam,busi_bd7080a2a6,busi,0.659217894077301,1,1,0.7946127946127947,0.659217877094972,22.825424421026653,6.909138813143132,0.3039422208847427,0.2689862239491346,,
SAM_litemedsam__detstats,busi_bd7080a2a6,busi,,1,1,,,,,,,0.0,0.0
SAM_swin_litemedsam,busi_bd7080a2a6,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_swin_litemedsam__detstats,busi_bd7080a2a6,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_479bc9d958,busi,0.0,1,1,0.0,0.0,,,0.0,,,
A_box__detstats,busi_479bc9d958,busi,,1,1,,,,,,,1.0,1.0
A_otsu,busi_479bc9d958,busi,0.0,1,1,0.0,0.0,,,0.0,,,
A_otsu__detstats,busi_479bc9d958,busi,,1,1,,,,,,,1.0,1.0
A_otsu_fb,busi_479bc9d958,busi,0.0,1,1,0.0,0.0,,,0.0,,,
A_otsu_fb__detstats,busi_479bc9d958,busi,,1,1,,,,,,,1.0,1.0
A_select,busi_479bc9d958,busi,0.0,1,1,0.0,0.0,,,0.0,,,
A_select__detstats,busi_479bc9d958,busi,,1,1,,,,,,,1.0,1.0
B_seg,busi_479bc9d958,busi,0.5130279660224915,1,2,0.6781473463229023,0.5130279418333415,111.31936040060597,41.93632169221125,0.00999061487693379,0.19275287143386438,,
