uid,dataset,otsu_iou,otsu+ref_iou,box_iou,box+ref_iou,mvp_iou,mvp+ref_iou
busi_c4322390d6,busi,0.6611709286675639,0.8698858230256898,0.6508777740973832,0.868314713572617,0.868314713572617,0.868314713572617
busi_a3108459ab,busi,0.786,0.8317907444668008,0.7907837201479987,0.8610431947840261,0.8610431947840261,0.8610431947840261
busi_6ca345f4b1,busi,0.7604622871046228,0.8251023849674777,0.6766815274277961,0.8876475815665863,0.7604622871046228,0.8251023849674777
busi_9460d57994,busi,0.732321214542549,0.881730957509301,0.6340053573946144,0.8517837440235381,0.732321214542549,0.881730957509301
busi_bd7080a2a6,busi,0.6726324934839271,0.8024331734064428,0.6383669055022306,0.7377426785126686,0.6726324934839271,0.8024331734064428
busi_5f2389aed3,busi,0.7282034346103038,0.8855799373040752,0.8280779272946375,0.889756649688738,0.7282034346103038,0.8855799373040752
busi_7432afad2c,busi,0.8506610576923077,0.8341316118284048,0.717081125152874,0.8822672906916277,0.8822672906916277,0.8822672906916277
busi_98197bf517,busi,0.7894361170592434,0.9175401816911251,0.7554596926395255,0.9016736401673641,0.9016736401673641,0.9016736401673641
busi_4e9b7d897c,busi,0.8260869565217391,0.8950850661625709,0.7300285306704708,0.8509142053445851,0.8260869565217391,0.8950850661625709
busi_11c694f20f,busi,0.6705524581855044,0.8343004513217279,0.6835119959162839,0.8238672622846203,0.8238672622846203,0.8238672622846203
busi_dcf573aebc,busi,0.8532134456332043,0.9196059859821936,0.7694557515453038,0.9082112970711297,0.9196059859821936,0.9196059859821936
busi_25d8683937,busi,0.8441052289704449,0.8805876836511409,0.6968726914553066,0.9008662175168431,0.8805876836511409,0.8805876836511409
busi_a2e0eb1c41,busi,0.8087902129587675,0.7514910536779325,0.6395939086294417,0.7512994802079168,0.7514910536779325,0.7514910536779325
busi_0d51c07bd5,busi,0.7125899980540962,0.7069824705399542,0.5645891444510495,0.6917049143624762,0.7125899980540962,0.7069824705399542
busi_3aa2ecd082,busi,0.6954811864105752,0.8340991388491616,0.697587417926401,0.8283270881179742,0.6954811864105752,0.8340991388491616
busi_f89428ed30,busi,0.7517945340796839,0.8450825082508251,0.7487365850888649,0.8572213824378178,0.7517945340796839,0.8450825082508251
