uid,dataset,dice,iou,hd95,assd,bf1,area_err
busi_c4322390d6,busi,0.9028668198862949,0.8229327453142227,9.0,3.0299114644612954,0.45621589145346214,0.10356234096692112
busi_a3108459ab,busi,0.9099060631938514,0.8347042694868781,5.0,2.1913984234824655,0.4801941658652746,0.021123785382340516
busi_6ca345f4b1,busi,0.9249505834342919,0.860379596678529,7.0,2.988586497587885,0.39194061505832445,0.07282579962992335
busi_9460d57994,busi,0.9023838882038635,0.8221306871372402,8.246211251235321,3.153242952591098,0.49552238805970145,0.015902140672782873
busi_bd7080a2a6,busi,0.8496021734911702,0.7385290148448043,15.297058540778355,5.02396646096436,0.350974930362117,0.1797951253973861
busi_479bc9d958,busi,0.7200722490502385,0.562588199619794,80.95863100869788,37.15757137797734,0.02129925452609159,0.014360874397925157
busi_5f2389aed3,busi,0.9543603258265453,0.9127047771795166,6.324555320336759,2.0507973326392506,0.6557443669468652,0.06355833913245186
busi_7432afad2c,busi,0.9360499864167345,0.8797875600040854,7.0710678118654755,2.8465995642152446,0.45570005323598756,0.034151193633952255
busi_98197bf517,busi,0.0,0.0,,,0.0,
busi_4e9b7d897c,busi,0.9260628465804066,0.8623063683304647,5.0,1.6723980562621232,0.7475470155355682,0.10097087378640776
busi_881775a5f8,busi,0.0,0.0,,,0.0,
busi_11c694f20f,busi,0.0,0.0,,,0.0,
busi_dcf573aebc,busi,0.9777061931606136,0.95638473657918,5.0,1.7168433740322855,0.6924446217906031,0.01609383524277141
busi_25d8683937,busi,0.8464184238073875,0.7337308789214415,7.211102550927978,4.439623746625788,0.13584905660377358,0.36289752650176677
busi_a2e0eb1c41,busi,0.0,0.0,,,0.0,
busi_0d51c07bd5,busi,0.0,0.0,,,0.0,
busi_3aa2ecd082,busi,0.9452455896347266,0.8961760011104171,10.990832691319564,4.044672336694312,0.35385458531238584,0.0064937433876910726
busi_f89428ed30,busi,0.8573087343568572,0.7502540363554251,17.0,8.171724203138899,0.19832429290972492,0.32344124700239807
busi_42f20b000b,busi,0.835885765832257,0.7180444507062097,20.596113851196858,10.267802306544276,0.1519977422086038,0.3475310424487439
busi_e236c55059,busi,0.7648674289708893,0.6192593790426908,26.19539610866737,11.957879172674499,0.07555089192025183,0.6124445603965563
busi_d07111ff97,busi,0.0,0.0,,,0.0,
busi_5297c4215c,busi,0.0,0.0,,,0.0,
busi_b5c3b1d7df,busi,0.9113320837436859,0.8371075055445314,12.0,4.898168429509367,0.2876966325737185,0.19061869301969517
busi_16e7d3f1d9,busi,0.0,0.0,,,0.0,
busi_f0ca639c01,busi,0.0,0.0,,,0.0,
busi_22c13c0f43,busi,0.0,0.0,,,0.0,
busi_6b1c7c6449,busi,0.8177522468266469,0.691692789968652,18.40240079083079,5.264912386767811,0.28558689109352353,0.3700043917435222
