uid,dataset,dice,iou,hd95,assd,bf1,area_err
busi_c4322390d6,busi,0.8843903580622513,0.7927417663100482,7.0,3.652358267648947,0.25940159209442765,0.17455470737913487
busi_a3108459ab,busi,0.9053857350800583,0.8271276595744681,5.0,2.3047780265784237,0.5495974169289247,0.031685678073510776
busi_6ca345f4b1,busi,0.912478336221837,0.8390438247011952,8.94427190999916,3.4811712357506206,0.4217308537121101,0.1353423209093312
busi_9460d57994,busi,0.9216378734370526,0.8546645423968844,8.963776741499455,2.745491775116516,0.5576310295571916,0.1359836901121305
busi_bd7080a2a6,busi,0.8823426878159317,0.7894572676232064,10.0,4.144138322018387,0.20894139448691218,0.026492405510420345
busi_479bc9d958,busi,0.0,0.0,,,0.0,
busi_5f2389aed3,busi,0.8959559419037849,0.8115219092331768,18.196657862877185,5.107637742335465,0.3856337022491967,0.1481094873579216
busi_7432afad2c,busi,0.916605088145255,0.8460489135730294,9.0,3.720626777365241,0.41194056843164184,0.09394341290893014
busi_98197bf517,busi,0.0,0.0,,,0.0,
busi_4e9b7d897c,busi,0.8630079597821533,0.759027266028003,7.0710678118654755,3.4139966990361716,0.3928302293034772,0.3174757281553398
busi_881775a5f8,busi,0.0,0.0,,,0.0,
busi_11c694f20f,busi,0.0,0.0,,,0.0,
busi_dcf573aebc,busi,0.9684492490194203,0.9388285046555626,5.385164807134504,2.367856504789393,0.5322819122720552,0.03666900475411114
busi_25d8683937,busi,0.8784040531982267,0.7831733483907397,6.985410196624965,3.379410932688384,0.3390539974884889,0.23180212014134274
busi_a2e0eb1c41,busi,0.0,0.0,,,0.0,
busi_0d51c07bd5,busi,0.7161229758272706,0.5577815961686103,52.25888378099481,15.16697930067205,0.16405505203088286,0.7913527677694071
busi_3aa2ecd082,busi,0.9454739652870494,0.8965866504608528,9.219544457292887,4.110778463077663,0.285951885951886,0.0493597460873372
busi_f89428ed30,busi,0.9127661049857846,0.8395305823075451,14.202090186578747,5.053255119557159,0.42587539116377715,0.1614208633093525
busi_42f20b000b,busi,0.9449255441008019,0.8956008164328831,6.379553562304007,3.276596022459553,0.3931521044434378,0.10077967080565983
busi_e236c55059,busi,0.7527642636001769,0.6035460992907802,30.479501308256342,12.468296684474799,0.11512652034111563,0.6544482128880772
busi_d07111ff97,busi,0.0,0.0,,,0.0,
busi_5297c4215c,busi,0.0,0.0,,,0.0,
busi_b5c3b1d7df,busi,0.92207415055984,0.8554151948751721,8.0,4.1840774585053575,0.2820406470344255,0.15679588001948638
busi_16e7d3f1d9,busi,0.0,0.0,,,0.0,
busi_f0ca639c01,busi,0.0,0.0,,,0.0,
busi_22c13c0f43,busi,0.0,0.0,,,0.0,
busi_6b1c7c6449,busi,0.8222787570416137,0.6981947230365684,23.860296604844155,5.496327006071446,0.3654488361660768,0.41677646025472115
busi_b83f3d49c5,busi,0.9541461962185499,0.9123131672597865,5.830951894845301,1.8763289902745026,0.725,0.026855763427881714
busi_929cf0f851,busi,0.799839871897518,0.6664442961974649,7.615773105863909,3.430127859116449,0.3274974253347065,0.46594274432379074
busi_b0824ba0e4,busi,0.0,0.0,,,0.0,
busi_cb24e22b98,busi,0.8976788489497167,0.8143532836092414,14.866068747318506,5.037481068461505,0.3843284933193322,0.18023827740736692
busi_034a4514ed,busi,0.9460926594731128,0.8977000378421561,9.219544457292887,3.922953601180368,0.3384611743544837,0.03898802800993901
busi_1541b9855b,busi,0.8633491994807443,0.7595553525201766,18.998683298050512,6.750004511486948,0.16880906134741713,0.08787026311434717
busi_7142c7617d,busi,0.936274217585693,0.880183815288052,6.324555320336759,2.55199973715868,0.4835164835164835,0.1244934143870314
busi_5ea67a72a7,busi,0.0,0.0,,,0.0,
busi_328c7cf02a,busi,0.9387938148028558,0.8846478920856012,12.041594578792296,4.54330925707425,0.3177287290850836,0.022640687928594753
busi_884f21854c,busi,0.9523952463467548,0.9091169575410263,15.889670099780696,4.322261891312449,0.3558057468282422,0.029017076778270808
busi_702d535cb8,busi,0.9174417351958918,0.8474756186558747,13.549724247153817,4.832680040704647,0.4082988742022612,0.17707763271049956
busi_7ad36ab93e,busi,0.8554090325592251,0.7473491027732463,15.428452755984168,4.418026013596739,0.3772303409881698,0.3247422680412371
busi_fb599a827f,busi,0.9547466095645967,0.9134116361649822,9.219544457292887,3.359217933124108,0.33366987470492104,0.018667798048366567
busi_26b35ce6c2,busi,0.0,0.0,,,0.0,
busi_4058304b16,busi,0.8744690891930156,0.7769392033542977,6.570918069719421,2.7973545184705135,0.4733420026007802,0.04734299516908213
busi_dc9eed528c,busi,0.9322812868589092,0.8731525217126315,7.0710678118654755,3.1595472594899263,0.4455988246842657,0.042109634551495016
busi_15283493c7,busi,0.7379498089813099,0.5847230278422274,93.43150900276386,22.758882590184786,0.0815868263473054,0.24203723649792275
busi_de9fa69171,busi,0.9237275182147042,0.858265480022723,26.0,7.07182012873702,0.27924971501606277,0.023663276608599335
busi_1af81235cf,busi,0.9655172413793104,0.9333333333333333,5.0,1.5793317134481133,0.7648462547362284,0.026392961876832845
busi_0e203e8363,busi,0.0,0.0,,,0.0,
busi_8c1f838d6c,busi,0.0,0.0,,,0.0,
busi_cfd961e96d,busi,0.9096989966555183,0.8343558282208589,7.905124837953327,2.538708398964311,0.6284645468457745,0.15813648293963253
busi_6d2d131466,busi,0.9048975957257347,0.8263132216620589,9.096424967926286,3.528049118736672,0.4678849420417001,0.10142215568862276
busi_873f42e663,busi,0.9505948779995967,0.9058416602613374,8.06225774829855,3.338109473650191,0.4075315063012603,0.06302652106084243
busi_22d1a239ff,busi,0.9420943613348677,0.8905277814036462,24.00812142253425,7.676070415334925,0.16467856011823076,0.06993473393359059
busi_888dc0e64a,busi,0.0,0.0,,,0.0,
busi_62445ce52f,busi,0.0,0.0,,,0.0,
busi_31157c7321,busi,0.0,0.0,,,0.0,
busi_31341a9960,busi,0.9506472608152182,0.9059367982912536,9.219544457292887,4.697381520458761,0.14688897213721705,0.10293984349034656
busi_6e82f75987,busi,0.8425427580432963,0.7279256006199948,23.498415219456145,9.92146158541403,0.15394991990557289,0.2894304490690033
busi_f5cba98f1d,busi,0.9507657837508867,0.9061520955252114,18.0,8.449679818493362,0.1680113471715955,0.0005040596186207378
busi_70e63630b2,busi,0.9622369604853542,0.9272222307468045,10.44030650891055,4.757055446622713,0.21143078547714375,0.03914342306068773
busi_d6ece3a2e2,busi,0.9402182265252804,0.8871809744779582,10.037406715840667,4.191435509900957,0.27534231242771334,0.08035381254329409
busi_21ebb876bc,busi,0.9170896785109983,0.846875,7.0,2.63063172907739,0.5629876780453811,0.06282722513089005
busi_7a078fba05,busi,0.810243301227918,0.6810159607120934,16.76305461424021,8.52588236717854,0.06856712294361421,0.4683943661971831
busi_a262591d26,busi,0.8989023685730791,0.8163693599160545,11.40175425099138,4.6485485207598245,0.23101313604106902,0.15271732371595573
busi_b7e3e20601,busi,0.9743769743769743,0.9500342231348392,6.0,2.784150311454871,0.4164300962679797,0.043968432919954906
busi_1e01f78c06,busi,0.9101640003013788,0.8351384984099184,21.22723792232123,5.261002255623314,0.4109229804458127,0.015895953757225433
busi_a0d580339e,busi,0.0,0.0,,,0.0,
busi_c9ddf3ff26,busi,0.9628164165669235,0.9282989356426201,10.0,4.0131292739327,0.32417293802717306,0.001088699301252994
busi_086f5ac9a7,busi,0.8054805014648488,0.6743133975231178,101.9215129410365,31.423758932545073,0.07192871812286744,0.394007360686006
busi_55fa62f005,busi,0.8522228890632935,0.7424985922291046,15.0,6.704750814486341,0.226081628805731,0.24194464735005275
busi_f8c677f4cb,busi,0.9326287978863936,0.8737623762376238,5.0,2.1465135951502567,0.631390134529148,0.02504863813229572
busi_60618b0cf0,busi,0.0,0.0,,,0.0,
busi_93193f654b,busi,0.9311064718162839,0.87109375,26.0,7.643834651887989,0.3168328769410199,0.08578220277672512
