size,method,n_images,end2end_ms_mean,end2end_ms_median,end2end_ms_std,fps,det_tp,det_fp,det_fn,det_precision,det_recall,det_f1
512,A_box,120,19.362819549981698,16.600805003690766,11.699425551027044,51.64537103796669,108,25,12,0.8120300751879699,0.9,0.8537549407114624
512,B_seg,120,11.610125175260086,10.949412502668565,3.7723873975109825,86.13171562791513,108,25,12,0.8120300751879699,0.9,0.8537549407114624
512,SAM_edgesam,120,48.76599197511192,47.976971000025515,15.577367752979123,20.506093683285624,108,25,12,0.8120300751879699,0.9,0.8537549407114624
256,A_box,120,15.249053924587011,14.793791004194645,5.950147603272557,65.57783879219136,90,17,30,0.8411214953271028,0.75,0.7929515418502203
256,B_seg,120,10.151565775110308,9.664192501077196,2.280680831736209,98.50697145181368,90,17,30,0.8411214953271028,0.75,0.7929515418502203
256,SAM_edgesam,120,41.21604774142421,45.89531649980927,18.625787550270495,24.26239425656889,90,17,30,0.8411214953271028,0.75,0.7929515418502203
