uid,dataset,dice,iou,hd95,assd,bf1,area_err
busi_c4322390d6,busi,0.9338531513970111,0.8759141882008776,5.0,1.9783080364801044,0.6697437052046982,0.04198473282442748
busi_a3108459ab,busi,0.9179464677490127,0.8483373884833739,5.830951894845301,1.9462957878485598,0.6930599069590809,0.07435572454583861
busi_6ca345f4b1,busi,0.9382989825202191,0.8837695048531761,6.44888619169282,2.346844350137721,0.5694760820045559,0.026434047052603753
busi_9460d57994,busi,0.9367062887331098,0.8809478310720428,5.0,2.010232911194291,0.6016597510373444,0.00672782874617737
busi_bd7080a2a6,busi,0.8917924181082075,0.8047160411823314,9.0,3.7248443830106535,0.3645119863013699,0.08053691275167785
busi_479bc9d958,busi,0.6943039085816429,0.5317500091674714,76.89862626229586,38.915282535153594,0.040960565416432414,0.14280844757317526
busi_5f2389aed3,busi,0.9399975854159122,0.8867881548974943,7.211102550927978,2.7920569689311012,0.4898882049993719,0.07863604732080724
busi_7432afad2c,busi,0.943842472911281,0.8936569107384648,6.25201748332518,2.4678912910780335,0.5446825234091996,0.009394341290893015
busi_98197bf517,busi,0.0,0.0,,,0.0,
busi_4e9b7d897c,busi,0.9229258713794797,0.8568824065633546,4.0,1.657729296346975,0.6423951747692755,0.02233009708737864
busi_881775a5f8,busi,0.0,0.0,,,0.0,
busi_11c694f20f,busi,0.0,0.0,,,0.0,
busi_dcf573aebc,busi,0.945550872036815,0.8967249789122382,12.041594578792296,4.45130953175498,0.35315519836222575,0.01535344088535578
busi_25d8683937,busi,0.9437374413931681,0.8934686112872543,3.605551275463989,1.4576049784901954,0.7521732755189677,0.11024734982332156
busi_a2e0eb1c41,busi,0.0,0.0,,,0.0,
busi_0d51c07bd5,busi,0.0,0.0,,,0.0,
busi_3aa2ecd082,busi,0.9152095357161206,0.8436740235546715,13.345401254169952,6.686026410699029,0.08422571336966976,0.13020320309364852
busi_f89428ed30,busi,0.855844532534081,0.7480141963833024,18.384776310850235,8.452922307520788,0.1657029993150794,0.32531474820143885
busi_42f20b000b,busi,0.8261301737505466,0.7037664273133721,23.562661732092533,11.987967137161121,0.05499103407053198,0.42092597940128984
busi_e236c55059,busi,0.7625370237973649,0.6162099702872235,33.52897711334844,11.48011945939578,0.18216649626002257,0.5543960344377772
busi_d07111ff97,busi,0.0,0.0,,,0.0,
busi_5297c4215c,busi,0.0,0.0,,,0.0,
busi_b5c3b1d7df,busi,0.9014350453172205,0.8205568924028875,11.375340525389397,5.62485272722213,0.17048145224940806,0.21142737838402115
busi_16e7d3f1d9,busi,0.0,0.0,,,0.0,
busi_f0ca639c01,busi,0.0,0.0,,,0.0,
busi_22c13c0f43,busi,0.0,0.0,,,0.0,
busi_6b1c7c6449,busi,0.7964885784406268,0.6618039215686274,20.0,6.033150546119179,0.15781396087286326,0.32630654369784806
busi_b83f3d49c5,busi,0.9057298571218148,0.8277022479472338,7.0,3.8809600686613903,0.21945572094421895,0.04858177429088715
busi_929cf0f851,busi,0.9000469263256687,0.818259385665529,4.230687180969119,1.5276369190717487,0.7853751978012825,0.10365251727541955
busi_b0824ba0e4,busi,0.0,0.0,,,0.0,
busi_cb24e22b98,busi,0.8553323181215307,0.7472319972534547,16.0,7.014630953279981,0.15414258188824662,0.22505191824243087
busi_034a4514ed,busi,0.93889816360601,0.8848332284455632,12.727922061357855,4.570243283528555,0.290723552081637,0.029591145245086967
busi_1541b9855b,busi,0.9007288691871617,0.8193873594416441,12.083045973594572,4.972515818436365,0.2495084000897417,0.0588283964918087
busi_7142c7617d,busi,0.8376558878710959,0.7206608431447019,18.027756377319946,7.012553144157826,0.22185677978771115,0.29508611955420466
busi_5ea67a72a7,busi,0.0,0.0,,,0.0,
busi_328c7cf02a,busi,0.900641668337678,0.8192430460556316,13.805151945235442,7.815641239977925,0.07601031814273429,0.171329051921193
busi_884f21854c,busi,0.9280522683739603,0.8657626122928549,14.7648230602334,6.6438877737942486,0.20585307585108503,0.04980502890950652
busi_702d535cb8,busi,0.8674740725273196,0.7659639850039949,16.55294535724685,7.553258847362306,0.15113350125944583,0.2464232663591588
busi_7ad36ab93e,busi,0.0,0.0,,,0.0,
busi_fb599a827f,busi,0.9259502125075896,0.8621110709117221,12.0,5.42782763912176,0.25057169455517625,0.05897327110733984
busi_26b35ce6c2,busi,0.0,0.0,,,0.0,
busi_4058304b16,busi,0.0,0.0,,,0.0,
busi_dc9eed528c,busi,0.904879861283131,0.8262836462338837,11.40175425099138,4.517865451211941,0.2601369141653502,0.011794019933554818
