dataset,uid,rough_dice,rough_iou,pt_err,window
busi,busi_7150963946,0.9045899948427024,0.8258003766478342,2.439490795135498,0.042538812088973234
busi,busi_0c7edb4c86,0.8113528330037125,0.6825850896141047,34.144718170166016,0.09877573755278575
busi,busi_bfa5a7c1d4,0.8955445544554456,0.8108471537427163,13.586862564086914,0.09016034107321311
busi,busi_fb6e388228,0.9002720705507083,0.8186316328271626,46.697052001953125,0.1580789735634981
busi,busi_76a93fc3e0,0.8483978957436633,0.7367109634551495,2.842374801635742,0.059153463225923374
busi,busi_35e2c15b9d,0.48833477348475496,0.3230442593499918,51.45152282714844,0.10190415866127146
busi,busi_1b2f9644a8,0.682255173537559,0.5177445282552244,18.612096786499023,0.08136230750287395
busi,busi_9bca5dfea1,0.7681200388109191,0.6235348110293844,80.3592758178711,0.284716828221817
busi,busi_b6bcc2b1e7,0.8990426457789382,0.8166007905138339,2.3489325046539307,0.03397579924890162
ddti,ddti_2d31e57187,0.6408528812885924,0.4715110472339285,38.259056091308594,0.3118266671747753
ddti,ddti_df4799b90f,0.6180520142784294,0.44723247232472324,22.38105010986328,0.16161174090196317
ddti,ddti_0fd4a4bd08,0.647887323943662,0.4791666666666667,12.270480155944824,0.11077594007240822
ddti,ddti_03cf0a9e0f,0.5156369183829138,0.3473792394655704,16.067291259765625,0.09709919244683822
ddti,ddti_8edfe98ca9,0.6250686494022222,0.4546180790266085,25.4647216796875,0.20971961058393312
ddti,ddti_c3c349d6b8,0.7067809239940388,0.5465283779890522,18.068206787109375,0.158050659556764
ddti,ddti_da180a438e,0.7084487534626038,0.5485254691689008,20.542972564697266,0.18436258565197344
ddti,ddti_302d50fb0d,0.6051468266498263,0.4338426711941143,23.724323272705078,0.1758630452054817
ddti,ddti_dbea8b5a6d,0.7487773487773488,0.5984365356922444,17.033222198486328,0.12780095502947272
tg3k,tg3k_1c18c8e6b2,0.017329164805716838,0.008740313570012615,44.28174591064453,0.21332068445536148
tg3k,tg3k_253d6e4eca,0.022778058098464643,0.011520233321181189,57.48970031738281,0.23766265118146257
tg3k,tg3k_e1a5aec778,0.06657439937542141,0.034433390844682644,77.01014709472656,0.2822637978248362
tg3k,tg3k_a48265f397,0.05264937448678936,0.027036412342494296,59.90437316894531,0.2750868226756157
tg3k,tg3k_f6950ca471,0.041921241582303884,0.021409374572951306,73.9837646484375,0.260125162369303
tg3k,tg3k_b5abf5a881,0.043800506861760624,0.02239061354192129,71.41372680664062,0.2559526905214248
tg3k,tg3k_ae9a0e7c07,0.08982298727263861,0.047023384049831515,64.47229766845703,0.2410673756738099
tg3k,tg3k_9054bcda85,0.08494849387296782,0.04435833375822159,63.36103820800781,0.24020904655604308
tg3k,tg3k_198c022f97,0.07411023775814089,0.038481038328939364,62.54798889160156,0.24127663895186005
tn3k,tn3k_02c857056c,0.68596097088234,0.5220248072410325,30.785350799560547,0.20116713434948266
tn3k,tn3k_d62bef8c92,0.6806526806526807,0.5159010600706714,6.699889183044434,0.05339037864389314
tn3k,tn3k_e995c78858,0.7133883970522775,0.5544706696394249,33.05620574951172,0.2873989425183129
tn3k,tn3k_37facce758,0.8463938337309598,0.7336939230034999,11.93126106262207,0.16399982526816387
tn3k,tn3k_22547f98b5,0.8933443571723853,0.807246918192006,10.043039321899414,0.2244603785701422
tn3k,tn3k_ccae22dcbb,0.7800141242937854,0.6393632416787265,11.684640884399414,0.12780095502947272
tn3k,tn3k_4da81370df,0.7084142564694766,0.5484841095667723,36.262393951416016,0.19292851696597732
tn3k,tn3k_ac93678699,0.6376811594202898,0.46808510638297873,18.587600708007812,0.14448914610546065
tn3k,tn3k_8d98d972b8,0.603582576417986,0.43223649764388417,51.567256927490234,0.3065824611437468
