method,uid,dataset,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,n_miss,n_fp
A_otsu,busi_479bc9d958,busi,0.0,1,1,0.0,0.0,,,0.0,,,
A_otsu__detstats,busi_479bc9d958,busi,,1,1,,,,,,,1.0,1.0
A_otsu_fb,busi_479bc9d958,busi,0.0,1,1,0.0,0.0,,,0.0,,,
A_otsu_fb__detstats,busi_479bc9d958,busi,,1,1,,,,,,,1.0,1.0
A_select,busi_479bc9d958,busi,0.0,1,1,0.0,0.0,,,0.0,,,
A_select__detstats,busi_479bc9d958,busi,,1,1,,,,,,,1.0,1.0
B_seg,busi_479bc9d958,busi,0.5130279660224915,1,2,0.6781473463229023,0.5130279418333415,111.31936040060597,41.93632169221125,0.00999061487693379,0.19275287143386438,,
B_seg__detstats,busi_479bc9d958,busi,,1,2,,,,,,,0.0,1.0
SAM_edgesam,busi_479bc9d958,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_edgesam__detstats,busi_479bc9d958,busi,,1,1,,,,,,,1.0,1.0
SAM_efficientvit-t,busi_479bc9d958,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_479bc9d958,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_5f2389aed3,busi,0.8897566199302673,1,1,0.941662673694298,0.889756649688738,6.0,2.6984014456133405,0.47794117647058826,0.06355833913245186,,
A_box__detstats,busi_5f2389aed3,busi,,1,1,,,,,,,0.0,0.0
A_otsu,busi_5f2389aed3,busi,0.8855799436569214,1,1,0.9393183707398172,0.8855799373040752,6.324555320336759,2.8638895585427395,0.47328263002944065,0.04662491301322199,,
A_otsu__detstats,busi_5f2389aed3,busi,,1,1,,,,,,,0.0,0.0
A_otsu_fb,busi_5f2389aed3,busi,0.8855799436569214,1,1,0.9393183707398172,0.8855799373040752,6.324555320336759,2.8638895585427395,0.47328263002944065,0.04662491301322199,,
A_otsu_fb__detstats,busi_5f2389aed3,busi,,1,1,,,,,,,0.0,0.0
A_select,busi_5f2389aed3,busi,0.8855799436569214,1,1,0.9393183707398172,0.8855799373040752,6.324555320336759,2.8638895585427395,0.47328263002944065,0.04662491301322199,,
A_select__detstats,busi_5f2389aed3,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_5f2389aed3,busi,0.8817285895347595,1,2,0.9371474617244158,0.8817285822592873,6.60142603922608,2.915617989814759,0.38888888888888895,0.01507770818835537,,
B_seg__detstats,busi_5f2389aed3,busi,,1,2,,,,,,,0.0,1.0
SAM_edgesam,busi_5f2389aed3,busi,0.8909675478935242,1,1,0.9423403738771546,0.890967519798003,6.0,2.5677808430486078,0.517590548396114,0.08907446068197634,,
SAM_edgesam__detstats,busi_5f2389aed3,busi,,1,1,,,,,,,0.0,0.0
SAM_efficientvit-t,busi_5f2389aed3,busi,0.905289351940155,1,1,0.9502906631866176,0.9052893309222423,6.324555320336759,2.2856749613135623,0.57999371365708,0.04476919508234748,,
SAM_efficientvit-t__detstats,busi_5f2389aed3,busi,,1,1,,,,,,,0.0,0.0
A_box,busi_7432afad2c,busi,0.8822672963142395,1,1,0.9374516521162559,0.8822672906916277,8.0,2.7670602680058964,0.5222101841820151,0.00022104332449160034,,
A_box__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
A_otsu,busi_7432afad2c,busi,0.8341315984725952,1,1,0.9095657110417258,0.8341316118284048,14.142135623730951,3.9985767435663218,0.4218846525478766,0.05316091954022988,,
A_otsu__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
A_otsu_fb,busi_7432afad2c,busi,0.8341315984725952,1,1,0.9095657110417258,0.8341316118284048,14.142135623730951,3.9985767435663218,0.4218846525478766,0.05316091954022988,,
A_otsu_fb__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
A_select,busi_7432afad2c,busi,0.8341315984725952,1,1,0.9095657110417258,0.8341316118284048,14.142135623730951,3.9985767435663218,0.4218846525478766,0.05316091954022988,,
A_select__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_7432afad2c,busi,0.9091380834579468,1,1,0.9524068238617842,0.9091380562182346,5.0,2.0450016869283654,0.6346516562536838,0.03426171529619806,,
B_seg__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_7432afad2c,busi,0.8774404525756836,1,1,0.9347198780421409,0.877440457937238,7.0710678118654755,2.897660737551959,0.437345843694315,0.02995137046861185,,
SAM_edgesam__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
SAM_efficientvit-t,busi_7432afad2c,busi,0.8848189115524292,1,1,0.9388901123100639,0.8848189270519872,6.708203932499369,2.643247707693895,0.5177564511168267,0.007515473032714412,,
SAM_efficientvit-t__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
A_box,busi_98197bf517,busi,0.9016736149787903,1,4,0.9482948294829483,0.9016736401673641,4.036931687685293,1.3378727460066635,0.7559894202880032,0.05353319057815846,,
A_box__detstats,busi_98197bf517,busi,,1,4,,,,,,,0.0,3.0
A_otsu,busi_98197bf517,busi,0.9175401926040649,1,4,0.956997084548105,0.9175401816911251,3.1622776601683795,1.111967816742037,0.8519818924588716,0.04139900071377588,,
A_otsu__detstats,busi_98197bf517,busi,,1,4,,,,,,,0.0,3.0
A_otsu_fb,busi_98197bf517,busi,0.9175401926040649,1,4,0.956997084548105,0.9175401816911251,3.1622776601683795,1.111967816742037,0.8519818924588716,0.04139900071377588,,
A_otsu_fb__detstats,busi_98197bf517,busi,,1,4,,,,,,,0.0,3.0
A_select,busi_98197bf517,busi,0.9175401926040649,1,4,0.956997084548105,0.9175401816911251,3.1622776601683795,1.111967816742037,0.8519818924588716,0.04139900071377588,,
A_select__detstats,busi_98197bf517,busi,,1,4,,,,,,,0.0,3.0
B_seg,busi_98197bf517,busi,0.0,1,2,0.0,0.0,,,0.0,,,
B_seg__detstats,busi_98197bf517,busi,,1,2,,,,,,,1.0,2.0
SAM_edgesam,busi_98197bf517,busi,0.8872861266136169,1,4,0.9402772840383932,0.8872861455887286,4.242640687119285,1.6130591432522308,0.7335845200842965,0.007851534618129907,,
SAM_edgesam__detstats,busi_98197bf517,busi,,1,4,,,,,,,0.0,3.0
SAM_efficientvit-t,busi_98197bf517,busi,0.907213032245636,1,4,0.9513494318181818,0.9072130037250254,3.1622776601683795,1.2371848136703754,0.8663535165047295,0.009992862241256246,,
SAM_efficientvit-t__detstats,busi_98197bf517,busi,,1,4,,,,,,,0.0,3.0
A_box,busi_4e9b7d897c,busi,0.8509141802787781,1,1,0.9194528875379939,0.8509142053445851,3.605551275463989,1.691803230968537,0.7204753321316509,0.08349514563106795,,
A_box__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
A_otsu,busi_4e9b7d897c,busi,0.8950850367546082,1,1,0.944638403990025,0.8950850661625709,3.0,1.1348324312147764,0.8452313883299799,0.05339805825242718,,
A_otsu__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
A_otsu_fb,busi_4e9b7d897c,busi,0.8950850367546082,1,1,0.944638403990025,0.8950850661625709,3.0,1.1348324312147764,0.8452313883299799,0.05339805825242718,,
A_otsu_fb__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
A_select,busi_4e9b7d897c,busi,0.8950850367546082,1,1,0.944638403990025,0.8950850661625709,3.0,1.1348324312147764,0.8452313883299799,0.05339805825242718,,
A_select__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_4e9b7d897c,busi,0.8681267499923706,1,1,0.9294088301322025,0.8681267474370923,3.0,1.4600193182701262,0.7981605766840665,0.053883495145631066,,
B_seg__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_4e9b7d897c,busi,0.8890917301177979,1,1,0.941290166706934,0.8890917389319946,4.123105625617661,1.3140558189753748,0.7774800506463297,0.009223300970873786,,
SAM_edgesam__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
SAM_efficientvit-t,busi_4e9b7d897c,busi,0.8788694739341736,1,1,0.9355300859598854,0.8788694481830417,4.123105625617661,1.3957659711365515,0.7721370887195731,0.03300970873786408,,
SAM_efficientvit-t__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
A_box,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
A_box__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
A_otsu,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
A_otsu__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
A_otsu_fb,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
A_otsu_fb__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
A_select,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
