method,n,end2end_ms_mean,end2end_ms_median,end2end_ms_std,seg_only_ms_mean,fps
A_box,400,17.0772976051785,15.74815037110966,7.857816255784363,7.263284267523886,58.55727429009383
A_otsu,400,17.0772976051785,15.74815037110966,7.857816255784363,7.263284267523886,58.55727429009383
A_otsu_fb,400,17.0772976051785,15.74815037110966,7.857816255784363,7.263284267523886,58.55727429009383
A_select,400,17.0772976051785,15.74815037110966,7.857816255784363,7.263284267523886,58.55727429009383
B_seg,400,10.69615068492567,10.108017500897404,2.642057917118232,10.69615068492567,93.4915774334895
SAM_edgesam,400,35.61123004012188,35.130411000864115,10.059350619758225,8.893536319937994,28.081029463833072
SAM_efficientvit-t,400,99.695835795319,102.1373469993705,21.983693067122548,9.86112137004966,10.03050921859018
