variant,n,hitrate_iou50,dice,iou,dice_matched
box+ref,297,0.9932659932659933,0.8744021404690927,0.7828516235524704,0.8760243532172118
mvp+ref,297,0.9326599326599326,0.8426913800511351,0.7417865066690079,0.8637770580132936
box,297,0.9259259259259259,0.7964979871639182,0.6682460207604657,0.8119733087735147
otsu+ref,297,0.8653198653198653,0.813445894100408,0.705432597052586,0.857727749760816
mvp,297,0.835016835016835,0.790679862798485,0.6761549495770115,0.8453951097163387
otsu,297,0.7373737373737373,0.7195819922406281,0.5945666292208349,0.8189367612481144
