uid,dataset,best_iou,best_conf,hit25,hit_lowconf,area_ratio,diag,contrast,w,h
ddti_9c9f67679d,ddti,0.6984463276836158,0.7570461630821228,1.0,1.0,0.0272064208984375,65.19202405202648,4.864653262858539,43,49
ddti_6ec5864d97,ddti,0.7798594847775175,0.05783292278647423,0.0,1.0,0.02392578125,64.03124237432849,18.550824175824175,40,50
ddti_06d0f20618,ddti,0.8992165242165242,0.6631256341934204,1.0,1.0,0.05853271484375,112.69871339105873,-10.070894555566085,50,101
ddti_1ab2f73c47,ddti,0.7101449275362319,0.8715702295303345,1.0,1.0,0.1502685546875,170.42593699317015,-14.466832306184003,119,122
ddti_0021c0606c,ddti,0.8470254957507082,0.7375028133392334,1.0,1.0,0.0534210205078125,97.0,1.3844532052877412,65,72
ddti_7e1535d854,ddti,0.8820882088208821,0.8646783828735352,1.0,1.0,0.08953857421875,126.50691680694776,-6.371067457576629,80,98
ddti_7d9bfb7978,ddti,0.805439330543933,0.8490516543388367,1.0,1.0,0.01348876953125,49.51767361255979,21.527537938252223,34,36
tn3k_ba14c8a36b,tn3k,0.9356844955001098,0.8680844902992249,1.0,1.0,0.32330322265625,231.40008643040736,40.345862595031385,185,139
tn3k_e432497cb7,tn3k,0.8846153846153846,0.0011954449582844973,0.0,1.0,0.00726318359375,33.97057550292606,-2.421455679045806,23,25
tn3k_e12b0ef506,tn3k,0.9198569938924475,0.8582767248153687,1.0,1.0,0.3015899658203125,230.21728866442677,7.623427562135674,190,130
tn3k_a984c41da4,tn3k,0.46221959858323497,0.15589407086372375,0.0,0.0,0.0702667236328125,150.6154042586614,31.879746246414285,139,58
tn3k_be4c155142,tn3k,0.8007380073800738,0.8537842035293579,1.0,1.0,0.0508575439453125,92.00543462209176,44.40465804822241,56,73
tn3k_8b669ded91,tn3k,0.6991279069767442,0.7535220980644226,1.0,1.0,0.01708984375,53.75872022286245,26.192460317460316,39,37
tn3k_33814ec0d8,tn3k,0.8316985392703409,0.04657566174864769,0.0,1.0,0.4840240478515625,297.22886804615734,54.81778405681649,253,156
tn3k_07164549ce,tn3k,0.9527065527065527,0.8283218741416931,1.0,1.0,0.0185089111328125,58.137767414994535,45.351073317826724,38,44
tn3k_242c29b639,tn3k,0.9288513717214351,0.8140285611152649,1.0,1.0,0.475433349609375,289.0121104729004,57.933972898412634,242,158
tn3k_4501e10e3f,tn3k,0.9021346469622332,0.786200761795044,1.0,1.0,0.06622314453125,109.01834707974616,72.30658544661829,86,67
tn3k_398c97384e,tn3k,0.8655372017506706,0.0020710148382931948,0.0,1.0,0.3989410400390625,257.00194551792794,1.3307578992404814,205,155
tn3k_2e8606665e,tn3k,0.9005847953216374,0.8005800843238831,1.0,1.0,0.0301971435546875,72.62231062146122,10.392887013145426,57,45
tn3k_e82f9f01a7,tn3k,0.8100972672533581,0.8804118633270264,1.0,1.0,0.0230255126953125,67.60177512462228,61.36071084722572,59,33
tn3k_c1be980a7c,tn3k,0.5493066255778121,0.009454898536205292,0.0,1.0,0.031768798828125,119.10499569707393,30.649648918164765,115,31
tn3k_75f6fec10b,tn3k,0.8873239436619719,0.815276563167572,1.0,1.0,0.0198516845703125,58.728187440104094,24.75840098077949,40,43
tn3k_a66f54501a,tn3k,0.935814878802157,0.8744990825653076,1.0,1.0,0.223358154296875,192.00260414900626,87.43693141173743,144,127
tn3k_be632d42a2,tn3k,0.8210526315789474,0.44759470224380493,1.0,1.0,0.0522003173828125,97.0,38.47134179038312,65,72
