uid,dataset,rough_box_dice,rough_otsu_dice,cover_otsu,cover_box,ref_box_dice,ref_otsu_dice
busi_c4322390d6,busi,0.7883650952858575,0.796191247974068,1.0,1.0,0.9295165394402035,0.9304159776109909
busi_a3108459ab,busi,0.8830046948356808,0.8788694481830417,0.8276299112801014,0.9932403886776511,0.9253339172323188,0.9081722319859402
busi_6ca345f4b1,busi,0.8070276830607409,0.863441603317208,0.8256674596880782,0.9228125826063971,0.9404801936915731,0.9041710665258712
busi_9460d57994,busi,0.775879917184265,0.845834294945765,0.7471967380224261,0.9168195718654434,0.9199602780536247,0.9371488033298647
busi_bd7080a2a6,busi,0.7792079207920792,0.8046168243735052,0.6833274461321088,0.8339809254680325,0.8490816133308086,0.8903888202300599
busi_5f2389aed3,busi,0.9058552125672855,0.8422797398954481,0.7661795407098121,0.9563906286244491,0.941662673694298,0.9393183707398172
busi_7432afad2c,busi,0.8349155116764762,0.9192613851735528,0.9381078691423519,0.9720380194518126,0.9374516521162559,0.9095657110417258
busi_98197bf517,busi,0.8604329801934593,0.8800959232613909,0.7858672376873662,1.0,0.9482948294829483,0.956997084548105
busi_4e9b7d897c,busi,0.8439497010925582,0.9011160134959771,0.8427184466019417,0.9936893203883496,0.9194528875379939,0.944638403990025
busi_11c694f20f,busi,0.8120072771376592,0.8032786885245902,0.9477077363896849,0.9591690544412608,0.9034289713086074,0.9096660808435852
busi_dcf573aebc,busi,0.8697385910500665,0.9208603646931216,0.8767048554282597,0.9944275582573455,0.9518980402905304,0.9581195231704429
busi_25d8683937,busi,0.8211228782823153,0.9154631912645298,0.9183745583038869,1.0,0.9478481012658228,0.9365026595744681
busi_a2e0eb1c41,busi,0.7801857585139319,0.8948557089084065,0.9433862433862434,1.0,0.8579908675799087,0.8581157775255391
busi_0d51c07bd5,busi,0.721624780829924,0.8323042539490132,0.7196855551916148,0.8088437602358336,0.8177607199576495,0.828341805193021
busi_3aa2ecd082,busi,0.8218697529383545,0.8204061475839157,1.0,1.0,0.9061038295621705,0.9095464047516342
busi_f89428ed30,busi,0.856289369439574,0.858056025568716,0.8550659472422062,0.9881594724220624,0.9231224565297818,0.9160376346009372
busi_42f20b000b,busi,0.8071790688188334,0.8965614166588588,0.9210703628838194,1.0,0.9096812278630461,0.9182375228027504
busi_e236c55059,busi,0.7411107846018219,0.8688783570300158,0.9326897991129663,0.9869553874249934,0.8601240162175053,0.8564359351988218
busi_5297c4215c,busi,0.8885185044888064,0.8953227706219841,0.9905834874726753,0.9860433832184294,0.8412212999368963,0.8449939393939394
busi_b5c3b1d7df,busi,0.8287276746756647,0.8840943301555444,0.8583756698448047,0.9913703110863665,0.936173014253267,0.929541175304727
busi_16e7d3f1d9,busi,0.8530389839336512,0.886455222111601,0.8592041172686334,0.9783567686793493,0.8728045266191288,0.917633765683482
busi_6b1c7c6449,busi,0.7545981772990886,0.8898708361658736,0.8623188405797102,1.0,0.8757776856076317,0.8801505546751188
busi_b83f3d49c5,busi,0.8313545257244989,0.8755082890209571,0.8445986722993362,0.9824984912492456,0.921343146274149,0.9129334722428933
busi_929cf0f851,busi,0.7655172413793103,0.7848003101977511,0.9990128331688055,0.9861796643632774,0.9226277372262773,0.9196515004840271
busi_cb24e22b98,busi,0.843765903307888,0.8449445461397652,0.8576893649579189,0.9967209531096295,0.9229294274300932,0.9221008840353614
busi_034a4514ed,busi,0.8460094256484922,0.8561729250381045,0.8374519990964536,0.9975152473458324,0.9438917089678511,0.9510563218917556
busi_1541b9855b,busi,0.8313761608719011,0.8487962035787365,0.8065530365712394,0.896243587622042,0.8931899641577061,0.8817729534147445
busi_7142c7617d,busi,0.7713237093222413,0.8080173871045642,0.8475177304964538,0.9981003039513677,0.8760686180150598,0.875756004838431
busi_328c7cf02a,busi,0.8306235726493141,0.8953350579988317,0.9731867493922571,0.9963354014730961,0.9117159527914069,0.92271868869291
busi_884f21854c,busi,0.8718152962332694,0.8728486593050399,0.9703912868091973,0.9713056339922012,0.935495721030218,0.9318197416644933
busi_702d535cb8,busi,0.8533908007273217,0.8574817827486867,0.9889766241888828,0.9906965835352982,0.9261951463405254,0.9295351167990131
busi_7ad36ab93e,busi,0.7728397718713009,0.819357530246141,0.7992403689636463,0.9742268041237113,0.9167399221398971,0.910025706940874
