uid,dataset,stage,dice
ddti_54dd2b4e84,ddti,otsu_low_iou,0.5940732674807497
ddti_6410446b09,ddti,otsu_iou50,0.8036580813736469
ddti_3ab69060ab,ddti,otsu_low_iou,0.5612977983777521
ddti_57c3f20a3d,ddti,otsu_low_iou,0.5525881965051105
ddti_7506b6edef,ddti,det_miss,0.0
ddti_91d165a82a,ddti,otsu_iou50,0.8199711953912626
ddti_33e18d0483,ddti,otsu_iou50,0.9251522024591142
ddti_1f952975a3,ddti,otsu_iou50,0.6720722380908505
ddti_8afc9502ef,ddti,otsu_iou50,0.8175959903338406
ddti_221272fd42,ddti,otsu_iou50,0.8655891110165886
ddti_8de5d92d9d,ddti,otsu_low_iou,0.13228789706473662
ddti_2fdfab30c9,ddti,otsu_low_iou,0.05182389937106918
ddti_65ec60d09d,ddti,otsu_iou50,0.7846671734173092
ddti_489a74d797,ddti,otsu_iou50,0.7350939914658056
ddti_b40cf90f18,ddti,otsu_low_iou,0.5527047913446677
ddti_7c62604dba,ddti,otsu_iou50,0.6881887634372253
ddti_4b8d19d7a1,ddti,otsu_low_iou,0.04476766150358897
ddti_6ee55d72ab,ddti,det_miss,0.0
ddti_8dad71b90d,ddti,otsu_low_iou,0.6366024518388792
ddti_a8736f35aa,ddti,otsu_iou50,0.8074626865671641
ddti_feb395b080,ddti,det_miss,0.0
ddti_5dfcfa97df,ddti,otsu_iou50,0.688676426650732
ddti_29ec7eabab,ddti,det_miss,0.0
ddti_ad3b19cbcd,ddti,otsu_low_iou,0.12112882536192048
ddti_e9be59c1a3,ddti,otsu_low_iou,0.22535017852238395
ddti_3db3d34949,ddti,otsu_iou50,0.8852509652509652
ddti_fd470c1032,ddti,otsu_low_iou,0.3893132458023866
ddti_640c4f6df2,ddti,otsu_iou50,0.6999321688994404
ddti_c9d3b7aed1,ddti,otsu_iou50,0.7459044722471833
ddti_7ddf6c0f99,ddti,otsu_low_iou,0.22452535999266257
ddti_7fdea6c059,ddti,otsu_low_iou,0.06969419892309256
ddti_a24384ffc8,ddti,otsu_low_iou,0.5976931142957008
ddti_2678dc79df,ddti,otsu_low_iou,0.1542891785389512
ddti_3cb770272f,ddti,otsu_iou50,0.8362897765741367
ddti_97dac9ec47,ddti,det_miss,0.0
ddti_12d95b37a4,ddti,otsu_iou50,0.8501628664495114
ddti_b1ee2d97ca,ddti,otsu_iou50,0.8258287028166316
ddti_be9223a0e9,ddti,otsu_low_iou,0.6040107752170009
ddti_2a1acce5a7,ddti,otsu_low_iou,0.15540150202195263
ddti_e045a21668,ddti,otsu_iou50,0.6991479134804457
ddti_1c55c900ff,ddti,det_miss,0.0
ddti_a76252d2b4,ddti,otsu_iou50,0.7221929362150764
ddti_187f4dab10,ddti,otsu_iou50,0.7745627980922098
ddti_4016772991,ddti,otsu_low_iou,0.5751756440281031
ddti_dc43010854,ddti,otsu_low_iou,0.19826007326007325
ddti_043379d4b4,ddti,det_miss,0.0
ddti_9c90160b14,ddti,det_miss,0.0
ddti_787c8b3c4b,ddti,otsu_iou50,0.8424812685136783
ddti_233bdfbf21,ddti,otsu_iou50,0.8659041129228523
ddti_ac743820ef,ddti,otsu_iou50,0.7813547954393025
ddti_7599103e43,ddti,otsu_iou50,0.7098463289698349
ddti_6c5aa6a01f,ddti,otsu_iou50,0.7098463289698349
ddti_a94de71ed0,ddti,otsu_low_iou,0.21483180428134557
ddti_e217109e28,ddti,otsu_low_iou,0.5917680559150919
ddti_27df9b9068,ddti,otsu_low_iou,0.6570959803117309
ddti_4d1fb97d3c,ddti,det_miss,0.0
ddti_f242f7bf6e,ddti,otsu_iou50,0.7303187403993856
