group,vs,n,mean_a,mean_b,delta,ci_lo,ci_hi,p_win,p_better
ctrl,v3基线,335,0.802414777551335,0.8066079587664701,-0.004193181215135062,-0.013055008258900313,0.003749715249824141,0.43582089552238806,0.1415
C1C2,v3基线,335,0.7995392714525428,0.8066079587664701,-0.007068687313927463,-0.017167001105693226,0.002101890836477507,0.42388059701492536,0.068
C1C2,ctrl,335,0.7995392714525428,0.802414777551335,-0.0028755060987923986,-0.010714430059030418,0.0046076478452664275,0.4417910447761194,0.2365
C3C4,v3基线,335,0.7910748821695402,0.8066079587664701,-0.01553307659692992,-0.029473458581546184,-0.002979837111306264,0.40298507462686567,0.005
C3C4,ctrl,335,0.7910748821695402,0.802414777551335,-0.011339895381794859,-0.02410152331221941,7.549629549451966e-05,0.3970149253731343,0.026
C1C2C3C4,v3基线,335,0.7940289405977673,0.8066079587664701,-0.012579018168702891,-0.02441619705872174,-0.0016617761675128827,0.3940298507462687,0.013
C1C2C3C4,ctrl,335,0.7940289405977673,0.802414777551335,-0.00838583695356783,-0.020177586154685304,0.0027352193024950395,0.44776119402985076,0.0795
p50_aug,v3基线,335,0.7970737168378378,0.8066079587664701,-0.00953424192863232,-0.020653490942575185,0.001092114114186398,0.3940298507462687,0.039
p50_aug,ctrl,335,0.7970737168378378,0.802414777551335,-0.005341060713497256,-0.013102162834826184,0.0019296045036427424,0.408955223880597,0.0715
