method,uid,dataset,modality,dice,iou,hd95,assd,bf1,area_err,match_iou,n_gt,n_pred,n_miss,n_fp,pred_pt_err,rough_pt_err
rough_otsu_gtbox,tg3k_350712c87f,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_350712c87f,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_2b992ce7ad,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_2b992ce7ad,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_2b992ce7ad,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_2b992ce7ad,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_2b992ce7ad,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_2b992ce7ad,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_2b992ce7ad,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_2b992ce7ad,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_deddb7ad67,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_deddb7ad67,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_deddb7ad67,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_deddb7ad67,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_deddb7ad67,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_deddb7ad67,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_deddb7ad67,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_deddb7ad67,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_f1a62a3961,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_f1a62a3961,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_f1a62a3961,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_f1a62a3961,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_f1a62a3961,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_f1a62a3961,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_f1a62a3961,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_f1a62a3961,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_48ec3675eb,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_48ec3675eb,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_48ec3675eb,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_48ec3675eb,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_48ec3675eb,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_48ec3675eb,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_48ec3675eb,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_48ec3675eb,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_7283769148,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_7283769148,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_7283769148,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_7283769148,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_7283769148,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_7283769148,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_7283769148,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_7283769148,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_37b9ac53a4,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_37b9ac53a4,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_37b9ac53a4,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_37b9ac53a4,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_37b9ac53a4,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_37b9ac53a4,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_37b9ac53a4,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_37b9ac53a4,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_a38072cc51,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,0,,,,
yolo26n_seg__detstats,tg3k_a38072cc51,tg3k,thyroid,,,,,,,,1,0,1.0,0.0,,
refiner_gtbox,tg3k_a38072cc51,tg3k,thyroid,0.8897146967154159,0.8013388037141006,10.770329614269007,4.936512352934311,0.23495291165640175,0.019233052356642525,0.801338791847229,1,1,,,5.193968772888184,9.961020469665527
refiner_gtbox__detstats,tg3k_a38072cc51,tg3k,thyroid,,,,,,,,1,1,0.0,0.0,,
rough_otsu_gtbox,tg3k_a38072cc51,tg3k,thyroid,0.8324767740660209,0.7130280199779904,23.021728866442675,8.827020401421887,0.26724137931034486,0.40246942894455656,0.7130280137062073,1,1,,,9.944168090820312,9.944168090820312
rough_otsu_gtbox__detstats,tg3k_a38072cc51,tg3k,thyroid,,,,,,,,1,1,0.0,0.0,,
yolo26n_seg,tg3k_4e73ca560a,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_4e73ca560a,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_4e73ca560a,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_4e73ca560a,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_4e73ca560a,tg3k,thyroid,0.8581832368814617,0.7515945330296128,14.790134482004676,5.435269921343052,0.30861052693936786,0.022488164124145185,0.7515945434570312,1,1,,,5.748421669006348,13.62661361694336
refiner_gtbox__detstats,tg3k_4e73ca560a,tg3k,thyroid,,,,,,,,1,1,0.0,0.0,,
rough_otsu_gtbox,tg3k_4e73ca560a,tg3k,thyroid,0.7501233106441748,0.6001578531965273,35.21290584254959,12.349635334189962,0.18101367658889783,0.6662283008942662,0.6001578569412231,1,1,,,13.624031066894531,13.624031066894531
rough_otsu_gtbox__detstats,tg3k_4e73ca560a,tg3k,thyroid,,,,,,,,1,1,0.0,0.0,,
yolo26n_seg,tg3k_ef5d6e8cb6,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_ef5d6e8cb6,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_ef5d6e8cb6,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_ef5d6e8cb6,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_ef5d6e8cb6,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_ef5d6e8cb6,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_ef5d6e8cb6,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_ef5d6e8cb6,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_dcfac3d628,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_dcfac3d628,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_dcfac3d628,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_dcfac3d628,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_dcfac3d628,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_dcfac3d628,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_dcfac3d628,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_dcfac3d628,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_3202e4b340,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_3202e4b340,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_3202e4b340,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_3202e4b340,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_3202e4b340,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_3202e4b340,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_3202e4b340,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_3202e4b340,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_41c7cb403a,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,0,,,,
yolo26n_seg__detstats,tg3k_41c7cb403a,tg3k,thyroid,,,,,,,,1,0,1.0,0.0,,
refiner_gtbox,tg3k_41c7cb403a,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_41c7cb403a,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_41c7cb403a,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_41c7cb403a,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_a064976dbb,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,0,,,,
yolo26n_seg__detstats,tg3k_a064976dbb,tg3k,thyroid,,,,,,,,1,0,1.0,0.0,,
refiner_gtbox,tg3k_a064976dbb,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_a064976dbb,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_a064976dbb,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_a064976dbb,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_d92aab9336,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,0,,,,
yolo26n_seg__detstats,tg3k_d92aab9336,tg3k,thyroid,,,,,,,,1,0,1.0,0.0,,
refiner_gtbox,tg3k_d92aab9336,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_d92aab9336,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_d92aab9336,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_d92aab9336,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_7d046080bd,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,0,,,,
yolo26n_seg__detstats,tg3k_7d046080bd,tg3k,thyroid,,,,,,,,1,0,1.0,0.0,,
refiner_gtbox,tg3k_7d046080bd,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_7d046080bd,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_7d046080bd,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_7d046080bd,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_db5354fb37,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,0,,,,
yolo26n_seg__detstats,tg3k_db5354fb37,tg3k,thyroid,,,,,,,,1,0,1.0,0.0,,
refiner_gtbox,tg3k_db5354fb37,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_db5354fb37,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_db5354fb37,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_db5354fb37,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_83da2df4ee,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,0,,,,
yolo26n_seg__detstats,tg3k_83da2df4ee,tg3k,thyroid,,,,,,,,1,0,1.0,0.0,,
refiner_gtbox,tg3k_83da2df4ee,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_83da2df4ee,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_83da2df4ee,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_83da2df4ee,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_bdf35c99b2,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_bdf35c99b2,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_bdf35c99b2,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_bdf35c99b2,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_bdf35c99b2,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_bdf35c99b2,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_bdf35c99b2,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_bdf35c99b2,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_5712f4d9df,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_5712f4d9df,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_5712f4d9df,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_5712f4d9df,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_5712f4d9df,tg3k,thyroid,0.8680622239293259,0.7668815744825246,13.36371557959216,4.632225838359699,0.28896620864539724,0.19232772088179134,0.7668815851211548,1,1,,,4.471022605895996,6.184817314147949
refiner_gtbox__detstats,tg3k_5712f4d9df,tg3k,thyroid,,,,,,,,1,1,0.0,0.0,,
rough_otsu_gtbox,tg3k_5712f4d9df,tg3k,thyroid,0.8695192815636555,0.7691588785046729,16.0,5.514986453147976,0.3867780112118749,0.3001215066828676,0.7691588997840881,1,1,,,6.186163902282715,6.186163902282715
rough_otsu_gtbox__detstats,tg3k_5712f4d9df,tg3k,thyroid,,,,,,,,1,1,0.0,0.0,,
yolo26n_seg,tg3k_7d50f82bd8,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_7d50f82bd8,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_7d50f82bd8,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_7d50f82bd8,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_7d50f82bd8,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_7d50f82bd8,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_7d50f82bd8,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_7d50f82bd8,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_a92e515ff1,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_a92e515ff1,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_a92e515ff1,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_a92e515ff1,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_a92e515ff1,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_a92e515ff1,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_a92e515ff1,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_a92e515ff1,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_8a459ed8ba,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,0,,,,
yolo26n_seg__detstats,tg3k_8a459ed8ba,tg3k,thyroid,,,,,,,,1,0,1.0,0.0,,
refiner_gtbox,tg3k_8a459ed8ba,tg3k,thyroid,0.8597296291702841,0.7539699804220144,10.037406715840667,4.037342420185709,0.3387403141676968,0.15280641466208478,0.7539699673652649,1,1,,,3.9801366329193115,7.149354934692383
refiner_gtbox__detstats,tg3k_8a459ed8ba,tg3k,thyroid,,,,,,,,1,1,0.0,0.0,,
rough_otsu_gtbox,tg3k_8a459ed8ba,tg3k,thyroid,0.8231966053748232,0.6995192307692307,15.444684041841436,6.412021865419464,0.2849130492499668,0.42955326460481097,0.6995192170143127,1,1,,,7.1447296142578125,7.1447296142578125
rough_otsu_gtbox__detstats,tg3k_8a459ed8ba,tg3k,thyroid,,,,,,,,1,1,0.0,0.0,,
yolo26n_seg,tg3k_81f36a16d5,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,0,,,,
yolo26n_seg__detstats,tg3k_81f36a16d5,tg3k,thyroid,,,,,,,,1,0,1.0,0.0,,
refiner_gtbox,tg3k_81f36a16d5,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_81f36a16d5,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_81f36a16d5,tg3k,thyroid,0.687199230028874,0.5234604105571847,10.977032961426895,3.48333188629282,0.48169621686120334,0.23599320882852293,0.5234603881835938,1,1,,,4.283444404602051,4.283444404602051
rough_otsu_gtbox__detstats,tg3k_81f36a16d5,tg3k,thyroid,,,,,,,,1,1,0.0,0.0,,
yolo26n_seg,tg3k_ca2a9fbe90,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,0,,,,
yolo26n_seg__detstats,tg3k_ca2a9fbe90,tg3k,thyroid,,,,,,,,1,0,1.0,0.0,,
refiner_gtbox,tg3k_ca2a9fbe90,tg3k,thyroid,0.74158368895211,0.5892991710625471,6.708203932499369,3.593868059374185,0.33197056418642684,0.4107008289374529,0.5892991423606873,1,1,,,3.7698864936828613,2.5198121070861816
refiner_gtbox__detstats,tg3k_ca2a9fbe90,tg3k,thyroid,,,,,,,,1,1,0.0,0.0,,
rough_otsu_gtbox,tg3k_ca2a9fbe90,tg3k,thyroid,0.8486009965504024,0.737017310252996,8.0,2.27292419179578,0.6240650833223987,0.03391107761868877,0.7370173335075378,1,1,,,2.5420584678649902,2.5420584678649902
rough_otsu_gtbox__detstats,tg3k_ca2a9fbe90,tg3k,thyroid,,,,,,,,1,1,0.0,0.0,,
yolo26n_seg,tg3k_f34c3e61bb,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_f34c3e61bb,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_f34c3e61bb,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_f34c3e61bb,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_f34c3e61bb,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_f34c3e61bb,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_f34c3e61bb,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_f34c3e61bb,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_36941f96c8,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_36941f96c8,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_36941f96c8,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_36941f96c8,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_36941f96c8,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_36941f96c8,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_36941f96c8,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_36941f96c8,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_e894c4b168,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_e894c4b168,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_e894c4b168,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_e894c4b168,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_e894c4b168,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_e894c4b168,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_e894c4b168,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_e894c4b168,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_9720b968b8,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_9720b968b8,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_9720b968b8,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_9720b968b8,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_9720b968b8,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_9720b968b8,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_9720b968b8,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_9720b968b8,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_e48ca0c8ee,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_e48ca0c8ee,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_e48ca0c8ee,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_e48ca0c8ee,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_e48ca0c8ee,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_e48ca0c8ee,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_e48ca0c8ee,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_e48ca0c8ee,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_6347c0bdb3,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_6347c0bdb3,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_6347c0bdb3,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_6347c0bdb3,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_6347c0bdb3,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_6347c0bdb3,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_6347c0bdb3,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_6347c0bdb3,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_7d48d24655,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_7d48d24655,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_7d48d24655,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_7d48d24655,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_7d48d24655,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
