method,n,dice,dice_std,iou,hd95,assd,bf1,area_err
refiner_gtbox,150,0.12864462417675288,0.2903802607230917,0.10586437993856736,14.778835346861104,5.479556689635225,0.05842555839147206,0.188958673681991
rough_otsu,74,0.0,0.0,0.0,,,0.0,
rough_otsu_gtbox,150,0.0825395214237524,0.2407828725617753,0.06790097756215042,15.271784863776226,5.463638382907794,0.044327366440621935,0.3336101925136981
yolo26n_seg,150,0.0,0.0,0.0,,,0.0,
