method,dataset,n,dice,iou,hd95,assd,bf1,area_err
refiner_gtbox,tg3k,150,0.12864462417675288,0.10586437993856736,14.778835346861104,5.479556689635225,0.05842555839147206,0.188958673681991
rough_otsu,tg3k,74,0.0,0.0,,,0.0,
rough_otsu_gtbox,tg3k,150,0.0825395214237524,0.06790097756215042,15.271784863776226,5.463638382907794,0.044327366440621935,0.3336101925136981
yolo26n_seg,tg3k,150,0.0,0.0,,,0.0,
