method,uid,dataset,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,n_miss,n_fp
SAM_edgesam__detstats,busi_5f2389aed3,busi,,1,1,,,,,,,0.0,0.0
SAM_efficientvit-t,busi_5f2389aed3,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_5f2389aed3,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_7432afad2c,busi,0.8822672963142395,1,1,0.9374516521162559,0.8822672906916277,8.0,2.7670602680058964,0.5222101841820151,0.00022104332449160034,,
A_box__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_7432afad2c,busi,0.9091380834579468,1,1,0.9524068238617842,0.9091380562182346,5.0,2.0450016869283654,0.6346516562536838,0.03426171529619806,,
B_seg__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_7432afad2c,busi,0.8706035614013672,1,1,0.9308263695450325,0.8706035605731655,12.190143393678794,3.0066714125434766,0.5906063361761742,0.09549071618037135,,
SAM_edgesam__detstats,busi_7432afad2c,busi,,1,1,,,,,,,0.0,0.0
SAM_efficientvit-t,busi_7432afad2c,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_7432afad2c,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_98197bf517,busi,0.9016736149787903,1,4,0.9482948294829483,0.9016736401673641,4.036931687685293,1.3378727460066635,0.7559894202880032,0.05353319057815846,,
A_box__detstats,busi_98197bf517,busi,,1,4,,,,,,,0.0,3.0
B_seg,busi_98197bf517,busi,0.0,1,2,0.0,0.0,,,0.0,,,
B_seg__detstats,busi_98197bf517,busi,,1,2,,,,,,,1.0,2.0
SAM_edgesam,busi_98197bf517,busi,0.8831908702850342,1,4,0.9379727685325264,0.8831908831908832,5.385164807134504,1.6324617069602714,0.6820955062771326,0.11277658815132048,,
SAM_edgesam__detstats,busi_98197bf517,busi,,1,4,,,,,,,0.0,3.0
SAM_efficientvit-t,busi_98197bf517,busi,0.0,1,4,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_98197bf517,busi,,1,4,,,,,,,1.0,4.0
A_box,busi_4e9b7d897c,busi,0.8509141802787781,1,1,0.9194528875379939,0.8509142053445851,3.605551275463989,1.691803230968537,0.7204753321316509,0.08349514563106795,,
A_box__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_4e9b7d897c,busi,0.8681267499923706,1,1,0.9294088301322025,0.8681267474370923,3.0,1.4600193182701262,0.7981605766840665,0.053883495145631066,,
B_seg__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_4e9b7d897c,busi,0.8060489892959595,1,1,0.8926103136629452,0.8060489678348536,6.0,2.181517115376618,0.6032103056947142,0.17378640776699028,,
SAM_edgesam__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
SAM_efficientvit-t,busi_4e9b7d897c,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
A_box__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
B_seg,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
B_seg__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
SAM_edgesam,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_edgesam__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
SAM_efficientvit-t,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
