method,n,dice,dice_std,iou,hd95,assd,bf1,area_err
refiner,335,0.6601857191742725,0.36714264819241055,0.5832584019784832,16.832864153594667,5.691508967698922,0.3068486680325623,0.16932875729076544
refiner_box,323,0.8027829208022872,0.2508219905752013,0.7194305784324441,14.326566458261848,5.394804915422257,0.3586770833674307,0.15613203714536206
refiner_gtbox,341,0.7808236778856261,0.26498646238039386,0.6937122506389136,15.58775277794939,5.431257845526861,0.3829567494289179,0.1542126653627776
rough_otsu,334,0.5409885594692111,0.3918687821604364,0.4616816827209377,21.274819756915964,7.162772392772874,0.21486732745431616,0.21868147978089134
rough_otsu_gtbox,336,0.6555878067378532,0.35095662984630227,0.5683346343818448,20.388294504335786,6.513662081126428,0.30896914524587576,0.19362449823578318
seg_refiner,337,0.7812877856468858,0.2821482768887096,0.7015814806564072,14.841452487347205,5.322472649023566,0.3652132553371681,0.15534051253919226
yolo26n_seg,337,0.7923086885796344,0.2854927661962244,0.7191101397133116,14.33129436922032,4.624153569843753,0.4259549578609993,0.15390647457583817
