method,dataset,n,dice,iou,hd95,assd,bf1,area_err
refiner,busi,90,0.7507490662630111,0.6796173062534495,21.04729833818102,6.97454496104423,0.2930621432474748,0.12871995732792593
refiner,ddti,90,0.5446602840777915,0.46995154081931473,15.407869432637641,5.4843040911528895,0.2348433633089264,0.18323472907592048
refiner,tn3k,155,0.6746798347916715,0.5930991511370521,14.912357572358093,4.998129717471056,0.35666327871504677,0.1877500293383399
refiner_box,busi,84,0.8156812661397495,0.7399870260360787,20.134213031285206,7.3915966212764594,0.3075729920393601,0.13034585811955599
refiner_box,ddti,88,0.7790497174483534,0.6864676655387765,13.22544242449878,5.3307071599909985,0.3121569703506133,0.18562453077762522
refiner_box,tn3k,151,0.8094389531651968,0.7272053780081886,11.743121397673692,4.3255592973195744,0.414216908645827,0.1534423701986427
refiner_gtbox,busi,90,0.8843441750156068,0.7976275499284712,20.09012994104457,7.181182883439003,0.3350037425616686,0.12178817498444582
refiner_gtbox,ddti,90,0.6394967721823821,0.5589356301527266,13.229231014710775,4.746416166330761,0.30216787108035026,0.16879895151985924
refiner_gtbox,tn3k,161,0.8019576951004938,0.7109639208730543,13.955523012760453,4.691764384015142,0.45492426290359816,0.167054909865233
rough_otsu,busi,90,0.6793100258468356,0.5942535867087066,26.968426773747424,8.8198618058039,0.23127229856593778,0.1570967936743862
rough_otsu,ddti,90,0.38221842396474653,0.3161117363939378,19.914355724222077,7.144217145028623,0.13806411577356145,0.28360666452737554
rough_otsu,tn3k,154,0.5529390803874943,0.4692779412308779,17.940731301931827,6.034258041939665,0.2501650005141991,0.233704234741111
rough_otsu_gtbox,busi,90,0.8439594622370999,0.7411151691662449,28.571421328528068,8.9084962558466,0.3217012287359913,0.15350569689265495
rough_otsu_gtbox,ddti,90,0.49477469663225526,0.4191595082845412,17.388297280808803,5.861832571004,0.2315984444799843,0.2636296863075063
rough_otsu_gtbox,tn3k,156,0.6396886459338251,0.5547161293700584,15.654694167704452,5.0238333542914555,0.34626065521266963,0.19127397702228432
seg_refiner,busi,90,0.7785754490836972,0.7109916317636856,20.2749862885442,6.834930655166859,0.3172905781221941,0.10861012964234615
seg_refiner,ddti,90,0.7440952491683771,0.6575587057056245,13.793471612390276,5.326934355218037,0.31677684055985833,0.20542229694527755
seg_refiner,tn3k,157,0.8041631905752475,0.7214231121590529,12.465944652300502,4.500807804840608,0.4204509513837002,0.15352517005502103
yolo26n_seg,busi,90,0.7865217718168555,0.7237022723882938,19.755441738337716,6.022499644584858,0.3469540049925216,0.10129734144871975
yolo26n_seg,ddti,90,0.7477941630204848,0.670052386775732,13.016444047547695,4.53490888374773,0.37981912934297785,0.19182534297839318
yolo26n_seg,tn3k,157,0.8211439102928417,0.7445999857237178,12.111708024238492,3.9193318250133244,0.49768941852841914,0.16207033331320714
