variant,n,hitrate_iou50,dice,iou,dice_matched
box+ref,297,0.9730639730639731,0.8655034558376896,0.7694018236207126,0.8717302343691945
box,297,0.9259259259259259,0.7964979871639182,0.6682460207604657,0.8119733087735147
mvp+ref,297,0.9191919191919192,0.8394736223659274,0.7374465023781264,0.8642188597782283
otsu+ref,297,0.8653198653198653,0.8133650777417534,0.7054876765155659,0.8575915781826833
mvp,297,0.8181818181818182,0.7849979120207611,0.670551774088437,0.8476740938990702
otsu,297,0.7373737373737373,0.7195819922406281,0.5945666292208349,0.8189367612481144
