variant,n,hitrate_iou50,dice,iou,dice_matched
box+ref,297,0.9797979797979798,0.8759277090594064,0.7858501902183181,0.8806740292891484
box,297,0.9259259259259259,0.7964979871639182,0.6682460207604657,0.8119733087735147
mvp+ref,297,0.8383838383838383,0.7947657580460362,0.6820651402325472,0.8480762633500845
mvp,297,0.8316498316498316,0.7921415460065807,0.6774194382681642,0.846026396298245
otsu,297,0.7373737373737373,0.7195819922406281,0.5945666292208349,0.8189367612481144
otsu+ref,297,0.7272727272727273,0.7212734067072828,0.5997122857274771,0.8272501780838271
