method,uid,dataset,modality,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,pred_pt_err,n_miss,n_fp,rough_pt_err,eval
yolo26n_seg,busi_c4322390d6,busi,breast,0.894178569316864,1,1,0.9441333506967052,0.894178589047854,5.907023542164904,1.6137330885097405,0.8132513595068661,0.0460559796437659,1.3368016481399536,,,,v3_eval_A5
refiner,busi_c4322390d6,busi,breast,0.8698858022689819,1,1,0.9304159776109908,0.8698858230256898,4.47213595499958,2.07244665716839,0.5745166402535657,0.0002544529262086,2.269651412963867,,,8.126031875610352,v3_eval_A5
rough_otsu,busi_c4322390d6,busi,breast,0.6602822542190552,1,1,0.7953855494839102,0.6602822580645161,15.652475842498529,7.458493725064031,0.0906148867313915,0.5145038167938931,8.152881622314453,,,8.152881622314453,v3_eval_A5
refiner_gtbox,busi_c4322390d6,busi,breast,0.913930356502533,1,1,0.9550298934234468,0.9139303482587064,3.1622776601683795,1.32396742337439,0.7827463395330431,0.0422391857506361,1.4287302494049072,,,2.567046880722046,v3_eval_A5
rough_otsu_gtbox,busi_c4322390d6,busi,breast,0.8442185521125793,1,1,0.9155298332644344,0.8442185514612452,6.082762530298219,2.552477825352815,0.5212797182271793,0.1534351145038168,2.548402786254883,,,2.548402786254883,v3_eval_A5
yolo26n_seg,busi_a3108459ab,busi,breast,0.8855640888214111,1,1,0.9393094574308384,0.8855640921957137,3.18444134093314,1.4677843308397875,0.7000000000000001,0.0299957752429235,1.732268452644348,,,,v3_eval_A5
refiner,busi_a3108459ab,busi,breast,0.8317907452583313,1,1,0.9081722319859402,0.8317907444668008,5.0,2.2245454978528065,0.496536312849162,0.0768905787917194,2.222564220428467,,,2.7758941650390625,v3_eval_A5
rough_otsu,busi_a3108459ab,busi,breast,0.7842589020729065,1,1,0.8790864308105687,0.7842588893328006,7.0,2.8225233959005127,0.4587004405286344,0.1132234896493451,2.7651591300964355,,,2.7651591300964355,v3_eval_A5
refiner_gtbox,busi_a3108459ab,busi,breast,0.8358209133148193,1,1,0.9105691056910568,0.835820895522388,5.0,2.1439315923018483,0.496536312849162,0.0773130544993662,2.096879243850708,,,2.783365249633789,v3_eval_A5
rough_otsu_gtbox,busi_a3108459ab,busi,breast,0.7866613268852234,1,1,0.8805936586462784,0.786661309762957,7.0,2.800732243694032,0.4679291111910759,0.1212505280946345,2.7872042655944824,,,2.7872042655944824,v3_eval_A5
yolo26n_seg,busi_6ca345f4b1,busi,breast,0.7945412397384644,1,3,0.885509028541842,0.794541231126597,11.0,4.33015268082056,0.2608160032851319,0.0421623050489029,4.3990092277526855,,,,v3_eval_A5
refiner,busi_6ca345f4b1,busi,breast,0.8251023888587952,1,2,0.9041710665258712,0.8251023849674777,9.649744150086049,3.624820369163104,0.4999158443962886,0.0026434047052603,4.097174644470215,,,5.610438823699951,v3_eval_A5
rough_otsu,busi_6ca345f4b1,busi,breast,0.7600194215774536,1,2,0.8636489097433067,0.7600194316249697,13.341664064126334,5.069738238334855,0.3489832147444686,0.084588950568332,5.583821296691895,,,5.583821296691895,v3_eval_A5
refiner_gtbox,busi_6ca345f4b1,busi,breast,0.8830926418304443,1,1,0.9379173553719008,0.8830926294820717,6.737383539249406,2.3746401299002318,0.5986013017587591,0.0009251916468411,2.386103630065918,,,5.229848861694336,v3_eval_A5
