method,n_x,dice,dice_std,iou,hd95,assd,bf1,area_err,fail,n_y,end2end_ms_mean,end2end_ms_median,end2end_ms_std,seg_only_ms_mean,fps,det_f1,dice_x_f1,name
B_seg,202,0.7735371935087839,0.3108751868098581,0.7040180091268325,15.931555926165789,5.095914631155451,0.385002519836198,0.1453964214481503,0.1336633663366336,400,9.722930945002872,9.171110500346913,2.1256598016427537,9.722930945002872,102.8496454059414,0.8009153318077803,0.6195377980047468,B (YOLO26n-seg)
SAM_litemedsam,202,0.771511817560096,0.3100442541810281,0.7006757362506069,15.071803526819728,4.998746108871892,0.3799276040576821,0.134277751843047,0.1336633663366336,400,44.75791931501135,44.91558800009443,10.949856384812898,8.796302725000942,22.342414824109355,0.8293838862559242,0.639879469540364,YOLO26n+LiteMedSAM
SAM_edgesam,202,0.7647847760348544,0.3077271480157202,0.6899133189734452,15.462254985043645,5.541253832114277,0.3444898538172761,0.1571305588152065,0.1336633663366336,400,34.51848855001117,34.26641600003677,9.628298568880291,8.357124502506394,28.969982232888828,0.8293838862559242,0.6343001696971541,YOLO26n+EdgeSAM
A_box,202,0.7632490393233,0.3005900775497184,0.6841516265398934,16.298673550797496,6.122953275070666,0.3131577134531448,0.1561847865998921,0.1287128712871287,400,15.959758034379092,14.77138175005166,7.366658205944053,6.978704894373777,62.65759154029083,0.8341232227488152,0.6366437484402883,A-box (框+contour-refiner)
SAM_swin_litemedsam,202,0.6000031596546862,0.3733008266831001,0.5152132348453066,20.39033659761696,8.484910438014769,0.1796180479168905,0.2407631643030696,0.2722772277227723,400,45.924092262507656,46.10289149991331,11.310383099217264,8.976129162509778,21.77506295135632,0.7033492822966507,0.4220117917188463,YOLO26n+Swin-LiteMedSAM
