eval,method,n,dice,dice_std,iou,hd95,assd,bf1,area_err,dice_median,fail_rate
v2_eval_A0,refiner,335,0.6767932504981101,0.36072253084632855,0.6003856884235289,16.81161008843618,5.754545395976823,0.3224443550895232,0.16468557968991626,0.8525118653174533,0.21492537313432836
v2_eval_A0,refiner_gtbox,340,0.7987758625628741,0.25763242566144656,0.7165960291282082,15.073402975550875,5.2628326037500885,0.41632566428195783,0.12248292319504063,0.8913808554348064,0.08823529411764706
v2_eval_A0,rough_otsu,334,0.5409885594692111,0.3918687821604364,0.4616816827209378,21.274819756915964,7.162772392772874,0.2148673274543161,0.21868147978089128,0.7581563955027883,0.3383233532934132
v2_eval_A0,rough_otsu_gtbox,336,0.6555878067378533,0.3509566298463023,0.5683346343818447,20.388294504335786,6.513662081126428,0.30896914524587576,0.19362449823578312,0.8250982470327954,0.21726190476190477
v2_eval_A0,yolo26n_seg,337,0.7923086885796344,0.2854927661962244,0.7191101397133116,14.331294369220316,4.624153569843753,0.4259549578609993,0.15390647457583811,0.9007278996264726,0.10979228486646884
v2_eval_A1,refiner,336,0.6756885848215747,0.35989171494729355,0.598661679813229,17.123884240082173,5.854884932201193,0.31515755770266535,0.16287890274754285,0.8469035602947739,0.21428571428571427
v2_eval_A1,refiner_gtbox,340,0.792580873417741,0.2674169889926196,0.7113236806574762,14.809219225824586,5.179227389589806,0.4033328852127762,0.1170780774072217,0.8877486000060386,0.09705882352941177
v2_eval_A1,rough_otsu,334,0.5409885594692111,0.3918687821604364,0.4616816827209378,21.274819756915964,7.162772392772874,0.2148673274543161,0.21868147978089128,0.7581563955027883,0.3383233532934132
v2_eval_A1,rough_otsu_gtbox,336,0.6555878067378533,0.3509566298463023,0.5683346343818447,20.388294504335786,6.513662081126428,0.30896914524587576,0.19362449823578312,0.8250982470327954,0.21726190476190477
v2_eval_A1,yolo26n_seg,337,0.7923086885796344,0.2854927661962244,0.7191101397133116,14.331294369220316,4.624153569843753,0.4259549578609993,0.15390647457583811,0.9007278996264726,0.10979228486646884
v2_eval_A2,refiner,336,0.6784066750449002,0.3583974180760277,0.6012971874388782,16.73059496380814,5.740165274326668,0.32085019343990495,0.1619029403058231,0.8532801087332897,0.2113095238095238
v2_eval_A2,refiner_gtbox,340,0.8020076989596907,0.2536141215669983,0.7195901962955461,15.045753228739773,5.244696385141674,0.41666732558842584,0.11733608443956696,0.8904130435558179,0.08529411764705883
